Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Eurozone,Price / Eurozone,Compare At Price / Eurozone,Included / International,Price / International,Compare At Price / International,Included / Japan,Price / Japan,Compare At Price / Japan,Included / New Zealand,Price / New Zealand,Compare At Price / New Zealand,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status,New SKU,FinalSKU
simple-tasks-singlet,Simple Tasks Singlet,Lonely Kids Club,,Tank,"Artist:Claire Harrison, Colour:Black, Fit:Singlet, Size:2XL, Size:L, Size:M, Size:S, Size:XL, Size:XS, Style:Maple Singlet, Style:Singlet, Theme:Last Chance, Theme:Life is Tough",FALSE,Colour,Black,Fit,Singlet,Size,S,TEE-SADSONGS-,150,shopify,9,continue,manual,45,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SimpleTasksSinglet1.jpg?v=1672493033,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,archived,TNK-SIMPLETASKS-BLK-RST-S,TNK-SIMPLETASKS-BLK-RST-S-BL
simple-tasks-singlet,,,,,,,,Black,,Singlet,,M,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SimpleTasksSinglet2.jpg?v=1672493033,2,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TNK-SIMPLETASKS-BLK-RST-M,TNK-SIMPLETASKS-BLK-RST-M-BL
simple-tasks-singlet,,,,,,,,Black,,Singlet,,L,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TNK-SIMPLETASKS-BLK-RST-L,TNK-SIMPLETASKS-BLK-RST-L-BL
simple-tasks-singlet,,,,,,,,Black,,Singlet,,XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TNK-SIMPLETASKS-BLK-RST-XL,TNK-SIMPLETASKS-BLK-RST-XL-BL
simple-tasks-singlet,,,,,,,,Black,,Singlet,,2XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TNK-SIMPLETASKS-BLK-RST-2XL,TNK-SIMPLETASKS-BLK-RST-2XL-BL
simple-tasks-shorts,Simple Tasks Shorts,Lonely Kids Club,,Shorts,"Artist:Claire Harrison, Colour:Green, Fit:Beach Shorts, Size:2XL, Size:L, Size:M, Size:S, Size:XL, Style:Beach Shorts, Theme:Life is Tough",TRUE,Colour,Pistachio,Fit,Beach Shorts,Size,S,SHO-SIMPLETASKS-PISBSH,150,shopify,9,continue,manual,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SimpleTasksBeachShorts1.jpg?v=1672493033,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,active,SHO-SIMPLETASKS-PTO-BCH-S,
simple-tasks-shorts,,,,,,,,Pistachio,,Beach Shorts,,M,SHO-SIMPLETASKS-PISBSH,150,shopify,10,continue,manual,55,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SimpleTasksBeachShorts2.jpg?v=1672493033,2,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,SHO-SIMPLETASKS-PTO-BCH-M,
simple-tasks-shorts,,,,,,,,Pistachio,,Beach Shorts,,L,SHO-SIMPLETASKS-PISBSH,150,shopify,9,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,SHO-SIMPLETASKS-PTO-BCH-L,
simple-tasks-shorts,,,,,,,,Pistachio,,Beach Shorts,,XL,SHO-SIMPLETASKS-PISBSH,150,shopify,9,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,SHO-SIMPLETASKS-PTO-BCH-XL,
simple-tasks-shorts,,,,,,,,Pistachio,,Beach Shorts,,2XL,SHO-SIMPLETASKS-PISBSH,150,shopify,9,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,SHO-SIMPLETASKS-PTO-BCH-2XL,
