product_title,product_id,variant_title,variant_id,variant_sku
#KoalaKiller 1 Charity Tee,'6943829328039,White / Regular / S,'40832864420007,TEE-KOALAKILLERTWO-WHTREGS
#KoalaKiller 1 Charity Tee,'6943829328039,White / Regular / M,'40832864452775,TEE-KOALAKILLERTWO-WHTREGM
#KoalaKiller 1 Charity Tee,'6943829328039,White / Regular / L,'40832864485543,TEE-KOALAKILLERTWO-WHTREGL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Regular / XL,'40832864518311,TEE-KOALAKILLERTWO-WHTREGXL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Regular / 2XL,'40832864551079,TEE-KOALAKILLERTWO-WHTREG2XL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Regular / 3XL,'40832864583847,TEE-KOALAKILLERTWO-WHTREG3XL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Maple / XS,'40832864616615,TEE-KOALAKILLERTWO-WHTMAPXS
#KoalaKiller 1 Charity Tee,'6943829328039,White / Maple / S,'40832864649383,TEE-KOALAKILLERTWO-WHTMAPS
#KoalaKiller 1 Charity Tee,'6943829328039,White / Maple / M,'40832864682151,TEE-KOALAKILLERTWO-WHTMAPM
#KoalaKiller 1 Charity Tee,'6943829328039,White / Maple / L,'40832864714919,TEE-KOALAKILLERTWO-WHTMAPL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Maple / XL,'40832864747687,TEE-KOALAKILLERTWO-WHTMAPXL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Maple / 2XL,'40832864780455,TEE-KOALAKILLERTWO-WHTMAP2XL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Crop Top / XS,'40832864813223,TEE-KOALAKILLERTWO-WHTCRPXS
#KoalaKiller 1 Charity Tee,'6943829328039,White / Crop Top / S,'40832864845991,TEE-KOALAKILLERTWO-WHTCRPS
#KoalaKiller 1 Charity Tee,'6943829328039,White / Crop Top / M,'40832864878759,TEE-KOALAKILLERTWO-WHTCRPM
#KoalaKiller 1 Charity Tee,'6943829328039,White / Crop Top / L,'40832864944295,TEE-KOALAKILLERTWO-WHTCRPL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Crop Top / XL,'40832864977063,TEE-KOALAKILLERTWO-WHTCRPXL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Long Sleeve / XS,'40832865042599,TEE-KOALAKILLERTWO-WHTLSLXS
#KoalaKiller 1 Charity Tee,'6943829328039,White / Long Sleeve / S,'40832865075367,TEE-KOALAKILLERTWO-WHTLSLS
#KoalaKiller 1 Charity Tee,'6943829328039,White / Long Sleeve / M,'40832865108135,TEE-KOALAKILLERTWO-WHTLSLM
#KoalaKiller 1 Charity Tee,'6943829328039,White / Long Sleeve / L,'40832865140903,TEE-KOALAKILLERTWO-WHTLSLL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Long Sleeve / XL,'40832865173671,TEE-KOALAKILLERTWO-WHTLSLXL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Long Sleeve / 2XL,'40832865206439,TEE-KOALAKILLERTWO-WHTLSL2XL
#KoalaKiller 1 Charity Tee,'6943829328039,White / Long Sleeve / 3XL,'40832865239207,TEE-KOALAKILLERTWO-WHTLSL3XL
#KoalaKiller 2 Charity Tee,'6824975499431,White / Regular / S,'40312752996519,TEE-KOALAKILLERTWO-WHTREGS
#KoalaKiller 2 Charity Tee,'6824975499431,White / Regular / M,'40312753029287,TEE-KOALAKILLERTWO-WHTREGM
#KoalaKiller 2 Charity Tee,'6824975499431,White / Regular / L,'40312753062055,TEE-KOALAKILLERTWO-WHTREGL
#KoalaKiller 2 Charity Tee,'6824975499431,White / Regular / XL,'40312753094823,TEE-KOALAKILLERTWO-WHTREGXL
#KoalaKiller 2 Charity Tee,'6824975499431,White / Regular / 2XL,'40312753127591,TEE-KOALAKILLERTWO-WHTREG2XL
#KoalaKiller 2 Charity Tee,'6824975499431,White / Regular / 3XL,'40312753160359,TEE-KOALAKILLERTWO-WHTREG3XL
#KoalaKiller 2 Charity Tee,'6824975499431,White / Maple / XS,'40312753193127,TEE-KOALAKILLERTWO-WHTMAPXS
#KoalaKiller 2 Charity Tee,'6824975499431,White / Maple / S,'40312753225895,TEE-KOALAKILLERTWO-WHTMAPS
#KoalaKiller 2 Charity Tee,'6824975499431,White / Maple / M,'40312753258663,TEE-KOALAKILLERTWO-WHTMAPM
#KoalaKiller 2 Charity Tee,'6824975499431,White / Maple / L,'40312753291431,TEE-KOALAKILLERTWO-WHTMAPL
#KoalaKiller 2 Charity Tee,'6824975499431,White / Maple / XL,'40312753324199,TEE-KOALAKILLERTWO-WHTMAPXL
#KoalaKiller 2 Charity Tee,'6824975499431,White / Maple / 2XL,'40312753356967,TEE-KOALAKILLERTWO-WHTMAP2XL
#KoalaKiller 2 Charity Tee,'6824975499431,White / Crop Top / XS,'40312753389735,TEE-KOALAKILLERTWO-WHTCRPXS
#KoalaKiller 2 Charity Tee,'6824975499431,White / Crop Top / S,'40312753422503,TEE-KOALAKILLERTWO-WHTCRPS
